구분,구역,대상,해지,해지율,유지(방어)율,
중앙,G000401,36.0,2.0,0.05555555555555555,0.9444444444444444,
중앙,G000402,27.0,1.0,0.037037037037037035,0.962962962962963,
중앙,G000403,19.0,0.0,0.0,1.0,
중앙,G000404,17.0,1.0,0.058823529411764705,0.9411764705882353,
중앙,G000405,5.0,1.0,0.2,0.8,
중앙,G000406,14.0,0.0,0.0,1.0,
중앙,G000407,31.0,3.0,0.0967741935483871,0.9032258064516129,
중앙,G000408,13.0,2.0,0.15384615384615385,0.8461538461538461,
강북,G000101,20.0,2.0,0.1,0.9,
강북,G000102,15.0,1.0,0.06666666666666667,0.9333333333333333,
강북,G000103,9.0,0.0,0.0,1.0,
강북,G000104,12.0,1.0,0.08333333333333333,0.9166666666666666,
강북,G000105,21.0,1.0,0.047619047619047616,0.9523809523809523,
강북,G000106,43.0,0.0,0.0,1.0,
강북,G000107,12.0,3.0,0.25,0.75,
강북,G000202,18.0,0.0,0.0,1.0,
강북,G000203,26.0,1.0,0.038461538461538464,0.9615384615384616,
강북,G000204,20.0,2.0,0.1,0.9,
강북,G000205,20.0,3.0,0.15,0.85,
고양,G000301,17.0,2.0,0.11764705882352941,0.8823529411764706,
고양,G000302,26.0,1.0,0.038461538461538464,0.9615384615384616,
고양,G000303,21.0,0.0,0.0,1.0,
고양,G000304,43.0,1.0,0.023255813953488372,0.9767441860465116,
고양,G000305,32.0,1.0,0.03125,0.96875,
고양,G000306,19.0,0.0,0.0,1.0,
고양,G000307,16.0,3.0,0.1875,0.8125,
고양,G000308,27.0,2.0,0.07407407407407407,0.9259259259259259,
고양,G000309,22.0,2.0,0.09090909090909091,0.9090909090909091,
의정부,G000501,23.0,2.0,0.08695652173913043,0.9130434782608696,
의정부,G000502,9.0,0.0,0.0,1.0,
의정부,G000503,14.0,1.0,0.07142857142857142,0.9285714285714286,
의정부,G000504,18.0,1.0,0.05555555555555555,0.9444444444444444,
의정부,G000505,22.0,0.0,0.0,1.0,
의정부,G000506,15.0,3.0,0.2,0.8,
남양주,G000601,24.0,2.0,0.08333333333333333,0.9166666666666666,
남양주,G000602,24.0,1.0,0.041666666666666664,0.9583333333333334,
남양주,G000603,19.0,2.0,0.10526315789473684,0.8947368421052632,
남양주,G000604,28.0,1.0,0.03571428571428571,0.9642857142857143,
남양주,G000605,18.0,1.0,0.05555555555555555,0.9444444444444444,
강릉,P000101,39.0,2.0,0.05128205128205128,0.9487179487179487,
강릉,P000102,20.0,1.0,0.05,0.95,
강릉,P000103,40.0,0.0,0.0,1.0,
강릉,P000104,18.0,1.0,0.05555555555555555,0.9444444444444444,
원주,P000201,16.0,0.0,0.0,1.0,
원주,P000202,20.0,3.0,0.15,0.85,
원주,P000203,13.0,2.0,0.15384615384615385,0.8461538461538461,
원주,P000206,19.0,2.0,0.10526315789473684,0.8947368421052632,
원주,P000207,18.0,1.0,0.05555555555555555,0.9444444444444444,
원주,P000208,10.0,3.0,0.3,0.7,
원주,P000209,7.0,1.0,0.14285714285714285,0.8571428571428572,
